Fecha;Draw;Tipo;Subtipo;Number of Letters of Advice to Apply issued;Ranking score of lowest-ranked candidate invited
29/05/25;246;Skilled Worker Overseas;General;30;606
15/05/2025;245;Skilled Worker Overseas;General;62;626
01/05/2025;244;Skilled Worker Overseas;General;26;727
17/04/2025;243;Skilled Worker Overseas;General;27;621
03/04/2025;242;Skilled Worker Overseas;General;4;721
21/03/2025;241;Skilled Worker in Manitoba;Completed post-secondary study in Manitoba;101;844
21/03/2025;241;Skilled Worker Overseas;General;7;705
06/03/2025;240;Skilled Worker in Manitoba;General;98;861
06/03/2025;240;Skilled Worker Overseas;General;13;724
20/02/2025;239;International Education Stream;Master's Degree or higher level of completed post-secondary education and close relative in Manitoba selection;19;0
20/02/2025;239;Skilled Worker Overseas;General;22;711
06/02/2025;238;International Education Stream;General;59;0
06/02/2025;238;Skilled Worker Overseas;General;17;612
23/01/2025;237;Skilled Worker Overseas;General;128;609
09/01/2025;236;Skilled Worker in Manitoba;Completed post-secondary study in Manitoba;145;838
09/01/2025;236;Skilled Worker Overseas;Region-specific selection (Winkler);52;615
27/12/2024;235;Skilled Worker in Manitoba;General;239;857
18/12/2024;234;International Education Stream;General;297;0
18/12/2024;234;Skilled Worker Overseas;General;102;630
22/11/2024;233;International Education Stream;General;165;0
22/11/2024;233;Skilled Worker Overseas;General;25;617
08/11/2024;232;International Education Stream;General;188;0
08/11/2024;232;Skilled Worker Overseas;General;45;709
24/10/2024;231;Skilled Worker in Manitoba;General;50;872
24/10/2024;231;International Education Stream;General;156;0
24/10/2024;231;Skilled Worker Overseas;General;47;703
10/10/2024;230;Skilled Worker in Manitoba;Completed post-secondary study in Manitoba;82;845
10/10/2024;230;International Education Stream;General;114;0
10/10/2024;230;Skilled Worker Overseas;General;38;711
27/09/2024;229;International Education Stream;General;269;0
27/09/2024;229;Skilled Worker Overseas;General;79;582
30/08/2024;227;International Education Stream;General;126;0
30/08/2024;227;Skilled Worker Overseas;General;24;727
15/08/2024;226;International Education Stream;General;252;0
15/08/2024;226;Skilled Worker Overseas;General;40;703
01/08/2024;225;Skilled Worker Overseas;General;58;724
18/07/2024;224;International Education Stream;General;109;0
18/07/2024;224;Skilled Worker Overseas;General;52;645
04/07/2024;223;International Education Stream;General;85;0
04/07/2024;223;Skilled Worker Overseas;General;41;709
21/06/2024;221;International Education Stream;General;111;0
21/06/2024;221;Skilled Worker Overseas;General;52;721
06/06/2024;220;Skilled Worker in Manitoba;General;135;834
06/06/2024;220;International Education Stream;General;74;0
06/06/2024;220;Skilled Worker Overseas;General;45;708
23/05/2024;219;International Education Stream;General;93;0
23/05/2024;219;Skilled Worker Overseas;General;39;688
09/05/2024;218;Skilled Worker in Manitoba;General;242;836
09/05/2024;218;International Education Stream;General;76;0
09/05/2024;218;Skilled Worker Overseas;General;35;698
02/05/2024;217;International Education Stream;General;427;0
02/05/2024;217;Skilled Worker Overseas;General;26;796
24/04/2024;215;Skilled Worker in Manitoba;Completed post-secondary study in Manitoba;203;811
24/04/2024;215;International Education Stream;General;66;0
24/04/2024;215;Skilled Worker Overseas;General;58;644
09/04/2024;214;Skilled Worker Overseas;General;87;691
08/03/2024;212;Skilled Worker Overseas;General;104;614
08/02/2024;210;International Education Stream;General;83;0
08/02/2024;210;Skilled Worker Overseas;General;48;713
25/01/2024;208;Skilled Worker in Manitoba;Completed post-secondary study in Manitoba;156;772
25/01/2024;208;International Education Stream;General;78;0
25/01/2024;208;Skilled Worker Overseas;General;41;713
11/01/2024;207;Skilled Worker in Manitoba;General;166;823
11/01/2024;207;International Education Stream;General;58;0
11/01/2024;207;Skilled Worker Overseas;General;31;639
